,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
0,02/23/19,02:05 PM,03:05 PM,Rangers at Royals,Surprise Stadium - Surprise,Local Radio: MLB.com,02/23/19,02/23/19,05:05 PM,06:05 PM,False,True,02/23/19,01:05 PM,02:05 PM,FREE,BUSY
1,02/24/19,02:05 PM,03:05 PM,Royals at Athletics,Hohokam Stadium - Mesa,Local Radio: KCSP 610,02/24/19,02/24/19,05:05 PM,06:05 PM,False,True,02/24/19,01:05 PM,02:05 PM,FREE,BUSY
2,02/25/19,02:05 PM,03:05 PM,Rockies at Royals,Surprise Stadium - Surprise,Local Radio: KCSP 610,02/25/19,02/25/19,05:05 PM,06:05 PM,False,True,02/25/19,01:05 PM,02:05 PM,FREE,BUSY
3,02/26/19,02:05 PM,03:05 PM,Dodgers at Royals,Surprise Stadium - Surprise,Local Radio: MLB.com,02/26/19,02/26/19,05:05 PM,06:05 PM,False,True,02/26/19,01:05 PM,02:05 PM,FREE,BUSY
4,02/26/19,02:05 PM,03:05 PM,Royals at White Sox,Camelback Ranch - Glendale,,02/26/19,02/26/19,05:05 PM,06:05 PM,False,True,02/26/19,01:05 PM,02:05 PM,FREE,BUSY
5,02/27/19,02:05 PM,03:05 PM,Royals at Giants,Scottsdale Stadium - Scottsdale,Local Radio: KCSP 610,02/27/19,02/27/19,05:05 PM,06:05 PM,False,True,02/27/19,01:05 PM,02:05 PM,FREE,BUSY
6,02/28/19,02:05 PM,03:05 PM,Padres at Royals,Surprise Stadium - Surprise,Local Radio: KCSP 610,02/28/19,02/28/19,05:05 PM,06:05 PM,False,True,02/28/19,01:05 PM,02:05 PM,FREE,BUSY
7,03/01/19,02:10 PM,03:10 PM,Royals at Angels,Tempe Diablo Stadium - Tempe,Local Radio: KCSP 610,03/01/19,03/01/19,05:10 PM,06:10 PM,False,True,03/01/19,01:10 PM,02:10 PM,FREE,BUSY
8,03/02/19,02:05 PM,03:05 PM,Mariners at Royals,Surprise Stadium - Surprise,Local Radio: MLB.com,03/02/19,03/02/19,05:05 PM,06:05 PM,False,True,03/02/19,01:05 PM,02:05 PM,FREE,BUSY
9,03/03/19,02:05 PM,03:05 PM,Royals at Indians,Goodyear Ballpark - Goodyear,Local Radio: KCSP 610,03/03/19,03/03/19,05:05 PM,06:05 PM,False,True,03/03/19,01:05 PM,02:05 PM,FREE,BUSY
10,03/05/19,07:05 PM,08:05 PM,D-backs at Royals,Surprise Stadium - Surprise,Local Radio: KCSP 610,03/05/19,03/05/19,10:05 PM,11:05 PM,False,True,03/05/19,06:05 PM,07:05 PM,FREE,BUSY
11,03/06/19,02:05 PM,03:05 PM,Royals at Cubs,Sloan Park - Mesa,Local Radio: KCSP 610,03/06/19,03/06/19,05:05 PM,06:05 PM,False,True,03/06/19,01:05 PM,02:05 PM,FREE,BUSY
12,03/07/19,02:05 PM,03:05 PM,Angels at Royals,Surprise Stadium - Surprise,Local Radio: KCSP 610,03/07/19,03/07/19,05:05 PM,06:05 PM,False,True,03/07/19,01:05 PM,02:05 PM,FREE,BUSY
13,03/08/19,02:05 PM,03:05 PM,Reds at Royals,Surprise Stadium - Surprise,Local Radio: MLB.com,03/08/19,03/08/19,05:05 PM,06:05 PM,False,True,03/08/19,01:05 PM,02:05 PM,FREE,BUSY
14,03/08/19,08:05 PM,09:05 PM,Royals at Dodgers,Camelback Ranch - Glendale,Local Radio: KCSP 610,03/08/19,03/09/19,11:05 PM,12:05 AM,False,True,03/08/19,07:05 PM,08:05 PM,FREE,BUSY
15,03/09/19,02:10 PM,03:10 PM,Royals at D-backs,Salt River Fields at Talking Stick - Scottsdale,Local TV: FSKC ----- Local Radio: MLB.com,03/09/19,03/09/19,05:10 PM,06:10 PM,False,True,03/09/19,01:10 PM,02:10 PM,FREE,BUSY
16,03/10/19,03:05 PM,04:05 PM,Padres at Royals,Surprise Stadium - Surprise,Local Radio: KCSP 610,03/10/19,03/10/19,06:05 PM,07:05 PM,False,True,03/10/19,02:05 PM,03:05 PM,FREE,BUSY
