,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
43,04/13/19,04:05 PM,04:05 PM,Pirates at Nationals,Nationals Park - Washington,Local TV: MASN 2 ----- Local Radio: 106.7 The Fan,04/13/19,04/13/19,07:05 PM,07:05 PM,False,True,04/13/19,03:05 PM,03:05 PM,FREE,BUSY
44,04/14/19,01:35 PM,01:35 PM,Pirates at Nationals,Nationals Park - Washington,Local TV: MASN 2 ----- Local Radio: 106.7 The Fan,04/14/19,04/14/19,04:35 PM,04:35 PM,False,True,04/14/19,12:35 PM,12:35 PM,FREE,BUSY
45,04/16/19,07:05 PM,07:05 PM,Giants at Nationals,Nationals Park - Washington,Local TV: MASN ----- Local Radio: 106.7 The Fan,04/16/19,04/16/19,10:05 PM,10:05 PM,False,True,04/16/19,06:05 PM,06:05 PM,FREE,BUSY
46,04/17/19,07:05 PM,07:05 PM,Giants at Nationals,Nationals Park - Washington,Local TV: MASN ----- Local Radio: 106.7 The Fan,04/17/19,04/17/19,10:05 PM,10:05 PM,False,True,04/17/19,06:05 PM,06:05 PM,FREE,BUSY
47,04/18/19,01:05 PM,01:05 PM,Giants at Nationals,Nationals Park - Washington,Local TV: MASN- MLBN (out-of-market only) ----- Local Radio: 106.7 The Fan,04/18/19,04/18/19,04:05 PM,04:05 PM,False,True,04/18/19,12:05 PM,12:05 PM,FREE,BUSY
48,04/19/19,07:10 PM,07:10 PM,Nationals at Marlins,Marlins Park - Miami,Local TV: MASN 2 ----- Local Radio: 106.7 The Fan,04/19/19,04/19/19,10:10 PM,10:10 PM,False,True,04/19/19,06:10 PM,06:10 PM,FREE,BUSY
49,04/20/19,06:10 PM,06:10 PM,Nationals at Marlins,Marlins Park - Miami,Local TV: MASN 2 ----- Local Radio: 106.7 The Fan,04/20/19,04/20/19,09:10 PM,09:10 PM,False,True,04/20/19,05:10 PM,05:10 PM,FREE,BUSY
50,04/21/19,01:10 PM,01:10 PM,Nationals at Marlins,Marlins Park - Miami,Local TV: MASN 2 ----- Local Radio: 106.7 The Fan,04/21/19,04/21/19,04:10 PM,04:10 PM,False,True,04/21/19,12:10 PM,12:10 PM,FREE,BUSY
51,04/22/19,08:40 PM,08:40 PM,Nationals at Rockies,Coors Field - Denver,Local TV: MASN 2 ----- Local Radio: 106.7 The Fan,04/22/19,04/22/19,11:40 PM,11:40 PM,False,True,04/22/19,07:40 PM,07:40 PM,FREE,BUSY
52,04/23/19,08:40 PM,08:40 PM,Nationals at Rockies,Coors Field - Denver,Local TV: MASN 2 ----- Local Radio: 106.7 The Fan,04/23/19,04/23/19,11:40 PM,11:40 PM,False,True,04/23/19,07:40 PM,07:40 PM,FREE,BUSY
53,04/24/19,03:10 PM,03:10 PM,Nationals at Rockies,Coors Field - Denver,Local TV: MASN 2 ----- Local Radio: 106.7 The Fan,04/24/19,04/24/19,06:10 PM,06:10 PM,False,True,04/24/19,02:10 PM,02:10 PM,FREE,BUSY
54,04/26/19,07:05 PM,07:05 PM,Padres at Nationals,Nationals Park - Washington,Local TV: MASN ----- Local Radio: 106.7 The Fan,04/26/19,04/26/19,10:05 PM,10:05 PM,False,True,04/26/19,06:05 PM,06:05 PM,FREE,BUSY
55,04/27/19,04:05 PM,04:05 PM,Padres at Nationals,Nationals Park - Washington,Local TV: MASN ----- Local Radio: 106.7 The Fan,04/27/19,04/27/19,07:05 PM,07:05 PM,False,True,04/27/19,03:05 PM,03:05 PM,FREE,BUSY
56,04/28/19,01:35 PM,01:35 PM,Padres at Nationals,Nationals Park - Washington,Local TV: MASN ----- Local Radio: 106.7 The Fan,04/28/19,04/28/19,04:35 PM,04:35 PM,False,True,04/28/19,12:35 PM,12:35 PM,FREE,BUSY
57,04/29/19,07:05 PM,07:05 PM,Cardinals at Nationals,Nationals Park - Washington,Local TV: MASN ----- Local Radio: 106.7 The Fan,04/29/19,04/29/19,10:05 PM,10:05 PM,False,True,04/29/19,06:05 PM,06:05 PM,FREE,BUSY
58,04/30/19,07:05 PM,07:05 PM,Cardinals at Nationals,Nationals Park - Washington,Local TV: MASN- MLBN (out-of-market only) ----- Local Radio: 106.7 The Fan,04/30/19,04/30/19,10:05 PM,10:05 PM,False,True,04/30/19,06:05 PM,06:05 PM,FREE,BUSY
59,05/01/19,07:05 PM,07:05 PM,Cardinals at Nationals,Nationals Park - Washington,Local TV: MASN ----- Local Radio: 106.7 The Fan,05/01/19,05/01/19,10:05 PM,10:05 PM,False,True,05/01/19,06:05 PM,06:05 PM,FREE,BUSY
60,05/02/19,04:05 PM,04:05 PM,Cardinals at Nationals,Nationals Park - Washington,Local TV: MASN- MLBN (out-of-market only) ----- Local Radio: 106.7 The Fan,05/02/19,05/02/19,07:05 PM,07:05 PM,False,True,05/02/19,03:05 PM,03:05 PM,FREE,BUSY
61,05/03/19,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,Local TV: MASN- MLBN (out-of-market only) ----- Local Radio: 106.7 The Fan,05/03/19,05/03/19,10:05 PM,10:05 PM,False,True,05/03/19,06:05 PM,06:05 PM,FREE,BUSY
62,05/04/19,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,Local TV: MASN ----- Local Radio: 106.7 The Fan,05/04/19,05/04/19,10:05 PM,10:05 PM,False,True,05/04/19,06:05 PM,06:05 PM,FREE,BUSY
63,05/05/19,02:05 PM,02:05 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,Local TV: MASN ----- Local Radio: 106.7 The Fan,05/05/19,05/05/19,05:05 PM,05:05 PM,False,True,05/05/19,01:05 PM,01:05 PM,FREE,BUSY
64,05/06/19,07:40 PM,07:40 PM,Nationals at Brewers,Miller Park - Milwaukee,Local TV: MASN 2 ----- Local Radio: 106.7 The Fan,05/06/19,05/06/19,10:40 PM,10:40 PM,False,True,05/06/19,06:40 PM,06:40 PM,FREE,BUSY
65,05/07/19,07:40 PM,07:40 PM,Nationals at Brewers,Miller Park - Milwaukee,Local TV: MASN 2- MLBN (out-of-market only) ----- Local Radio: 106.7 The Fan,05/07/19,05/07/19,10:40 PM,10:40 PM,False,True,05/07/19,06:40 PM,06:40 PM,FREE,BUSY
