,START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
160,08/25/19,01:10 PM,01:10 PM,Phillies at Marlins,Marlins Park - Miami,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,08/25/19,08/25/19,04:10 PM,04:10 PM,False,True,08/25/19,12:10 PM,12:10 PM,FREE,BUSY
161,08/26/19,07:05 PM,07:05 PM,Pirates at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,08/26/19,08/26/19,10:05 PM,10:05 PM,False,True,08/26/19,06:05 PM,06:05 PM,FREE,BUSY
162,08/27/19,07:05 PM,07:05 PM,Pirates at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,08/27/19,08/27/19,10:05 PM,10:05 PM,False,True,08/27/19,06:05 PM,06:05 PM,FREE,BUSY
163,08/28/19,06:05 PM,06:05 PM,Pirates at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,08/28/19,08/28/19,09:05 PM,09:05 PM,False,True,08/28/19,05:05 PM,05:05 PM,FREE,BUSY
164,08/30/19,07:05 PM,07:05 PM,Mets at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBC 10 ----- Local Radio: 94 WIP- WTTM 1680,08/30/19,08/30/19,10:05 PM,10:05 PM,False,True,08/30/19,06:05 PM,06:05 PM,FREE,BUSY
165,08/31/19,04:05 PM,04:05 PM,Mets at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP- FS1 ----- Local Radio: 94 WIP- WTTM 1680,08/31/19,08/31/19,07:05 PM,07:05 PM,False,True,08/31/19,03:05 PM,03:05 PM,FREE,BUSY
166,09/01/19,07:05 PM,07:05 PM,Mets at Phillies,Citizens Bank Park - Philadelphia,Local TV: ESPN ----- Local Radio: 94 WIP- WTTM 1680,09/01/19,09/01/19,10:05 PM,10:05 PM,False,True,09/01/19,06:05 PM,06:05 PM,FREE,BUSY
167,09/02/19,02:10 PM,02:10 PM,Phillies at Reds,Great American Ball Park - Cincinnati,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/02/19,09/02/19,05:10 PM,05:10 PM,False,True,09/02/19,01:10 PM,01:10 PM,FREE,BUSY
168,09/03/19,06:40 PM,06:40 PM,Phillies at Reds,Great American Ball Park - Cincinnati,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/03/19,09/03/19,09:40 PM,09:40 PM,False,True,09/03/19,05:40 PM,05:40 PM,FREE,BUSY
169,09/04/19,06:40 PM,06:40 PM,Phillies at Reds,Great American Ball Park - Cincinnati,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/04/19,09/04/19,09:40 PM,09:40 PM,False,True,09/04/19,05:40 PM,05:40 PM,FREE,BUSY
170,09/05/19,12:35 PM,12:35 PM,Phillies at Reds,Great American Ball Park - Cincinnati,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/05/19,09/05/19,03:35 PM,03:35 PM,False,True,09/05/19,11:35 AM,11:35 AM,FREE,BUSY
171,09/06/19,07:10 PM,07:10 PM,Phillies at Mets,Citi Field - Flushing,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/06/19,09/06/19,10:10 PM,10:10 PM,False,True,09/06/19,06:10 PM,06:10 PM,FREE,BUSY
172,09/07/19,07:10 PM,07:10 PM,Phillies at Mets,Citi Field - Flushing,Local TV: NBCSP- FS1 ----- Local Radio: 94 WIP- WTTM 1680,09/07/19,09/07/19,10:10 PM,10:10 PM,False,True,09/07/19,06:10 PM,06:10 PM,FREE,BUSY
173,09/08/19,01:10 PM,01:10 PM,Phillies at Mets,Citi Field - Flushing,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/08/19,09/08/19,04:10 PM,04:10 PM,False,True,09/08/19,12:10 PM,12:10 PM,FREE,BUSY
174,09/09/19,07:05 PM,07:05 PM,Braves at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/09/19,09/09/19,10:05 PM,10:05 PM,False,True,09/09/19,06:05 PM,06:05 PM,FREE,BUSY
175,09/10/19,07:05 PM,07:05 PM,Braves at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/10/19,09/10/19,10:05 PM,10:05 PM,False,True,09/10/19,06:05 PM,06:05 PM,FREE,BUSY
176,09/11/19,07:05 PM,07:05 PM,Braves at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/11/19,09/11/19,10:05 PM,10:05 PM,False,True,09/11/19,06:05 PM,06:05 PM,FREE,BUSY
177,09/12/19,07:05 PM,07:05 PM,Braves at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/12/19,09/12/19,10:05 PM,10:05 PM,False,True,09/12/19,06:05 PM,06:05 PM,FREE,BUSY
178,09/14/19,07:05 PM,07:05 PM,Red Sox at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/14/19,09/14/19,10:05 PM,10:05 PM,False,True,09/14/19,06:05 PM,06:05 PM,FREE,BUSY
179,09/15/19,01:05 PM,01:05 PM,Red Sox at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/15/19,09/15/19,04:05 PM,04:05 PM,False,True,09/15/19,12:05 PM,12:05 PM,FREE,BUSY
180,09/17/19,07:20 PM,07:20 PM,Phillies at Braves,SunTrust Park - Atlanta,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/17/19,09/17/19,10:20 PM,10:20 PM,False,True,09/17/19,06:20 PM,06:20 PM,FREE,BUSY
181,09/18/19,07:20 PM,07:20 PM,Phillies at Braves,SunTrust Park - Atlanta,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/18/19,09/18/19,10:20 PM,10:20 PM,False,True,09/18/19,06:20 PM,06:20 PM,FREE,BUSY
182,09/19/19,12:10 PM,12:10 PM,Phillies at Braves,SunTrust Park - Atlanta,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/19/19,09/19/19,03:10 PM,03:10 PM,False,True,09/19/19,11:10 AM,11:10 AM,FREE,BUSY
183,09/20/19,07:10 PM,07:10 PM,Phillies at Indians,Progressive Field - Cleveland,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/20/19,09/20/19,10:10 PM,10:10 PM,False,True,09/20/19,06:10 PM,06:10 PM,FREE,BUSY
184,09/21/19,07:10 PM,07:10 PM,Phillies at Indians,Progressive Field - Cleveland,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/21/19,09/21/19,10:10 PM,10:10 PM,False,True,09/21/19,06:10 PM,06:10 PM,FREE,BUSY
185,09/22/19,01:10 PM,01:10 PM,Phillies at Indians,Progressive Field - Cleveland,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/22/19,09/22/19,04:10 PM,04:10 PM,False,True,09/22/19,12:10 PM,12:10 PM,FREE,BUSY
186,09/23/19,07:05 PM,07:05 PM,Phillies at Nationals,Nationals Park - Washington,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/23/19,09/23/19,10:05 PM,10:05 PM,False,True,09/23/19,06:05 PM,06:05 PM,FREE,BUSY
187,09/24/19,01:05 PM,01:05 PM,Phillies at Nationals,Nationals Park - Washington,Local TV: NBCSP- MLBN (out-of-market only) ----- Local Radio: 94 WIP- WTTM 1680,09/24/19,09/24/19,04:05 PM,04:05 PM,False,True,09/24/19,12:05 PM,12:05 PM,FREE,BUSY
188,09/24/19,07:05 PM,07:05 PM,Phillies at Nationals,Nationals Park - Washington,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/24/19,09/24/19,10:05 PM,10:05 PM,False,True,09/24/19,06:05 PM,06:05 PM,FREE,BUSY
189,09/25/19,07:05 PM,07:05 PM,Phillies at Nationals,Nationals Park - Washington,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/25/19,09/25/19,10:05 PM,10:05 PM,False,True,09/25/19,06:05 PM,06:05 PM,FREE,BUSY
190,09/26/19,04:05 PM,04:05 PM,Phillies at Nationals,Nationals Park - Washington,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/26/19,09/26/19,07:05 PM,07:05 PM,False,True,09/26/19,03:05 PM,03:05 PM,FREE,BUSY
191,09/27/19,07:05 PM,07:05 PM,Marlins at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/27/19,09/27/19,10:05 PM,10:05 PM,False,True,09/27/19,06:05 PM,06:05 PM,FREE,BUSY
192,09/28/19,06:05 PM,06:05 PM,Marlins at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/28/19,09/28/19,09:05 PM,09:05 PM,False,True,09/28/19,05:05 PM,05:05 PM,FREE,BUSY
193,09/29/19,03:05 PM,03:05 PM,Marlins at Phillies,Citizens Bank Park - Philadelphia,Local TV: NBCSP ----- Local Radio: 94 WIP- WTTM 1680,09/29/19,09/29/19,06:05 PM,06:05 PM,False,True,09/29/19,02:05 PM,02:05 PM,FREE,BUSY
